jornal,coluna,data,titulo,link,metaforico,paragrafos_resgatados
Folha de S. Paulo,Equilibrio,2002-06-20,Pirulito especial para criança doente,http://www1.folha.uol.com.br/fsp/equilibrio/eq2006200210.htm,0,[]
Folha de S. Paulo,Pensata,2002-11-28,Do parricídio,http://www1.folha.uol.com.br/folha/pensata/ult510u84.shtml,0,[]
Folha de S. Paulo,Equilíbrio,2003-07-08,Diabetes tipo 1 reduz capacidade física,https://www1.folha.uol.com.br/fsp/equilibrio/eq0708200305.htm,0,[]
Folha de S. Paulo,Cotidiano,2004-10-29,Governo inclui 4 remédios em programa de venda a preços populares,https://www1.folha.uol.com.br/folha/cotidiano/ult95u101290.shtml,0,[]
Folha de S. Paulo,CIência,2005-01-07,"Veja lista das 125 perguntas da ciência do futuro na revista ""Science""",https://www1.folha.uol.com.br/folha/ciencia/ult306u13353.shtml,0,[]
Folha de S. Paulo,Colunas,2006-07-01,Escolha a sua loucura,https://www1.folha.uol.com.br/colunas/luizcaversan/383387-pescolha-a-sua-loucurap.shtml,0,[]
Folha de S. Paulo,Empregos,2007-11-02,"Quando analisados por grupo de doenças mentais, os distúrbios mais prevalecentes são*",https://www1.folha.uol.com.br/fsp/empregos/ce1102200707.htm,0,[]
Folha de S. Paulo,Equilíbrio,2007-09-27,Esquizofrenia,https://www1.folha.uol.com.br/fsp/equilibrio/eq2709200712.htm,0,[]
Folha de S. Paulo,Colunas,2009-05-31,Gagliasso pode tentar suicídio em novela,https://www1.folha.uol.com.br/colunas/zapping/574320-gagliasso-pode-tentar-suicidio-em-novela.shtml,0,[]
Folha de S. Paulo,Colunas,2009-06-06,Cachê alto,https://www1.folha.uol.com.br/folha/colunas/zapping/ult3954u577436.shtml,0,[]
Folha de S. Paulo,Painel do leitor,2010-09-08,Esquizofrenia,https://www1.folha.uol.com.br/fsp/opiniao/fz0908201009.htm,0,[]
Folha de S. Paulo,Opinião (p. leitor),2001-01-11,Cavallo,https://www1.folha.uol.com.br/fsp/opiniao/fz0111200111.htm,1,[]
Folha de S. Paulo,Ombudsman,2002-02-17,Esquizofrenia,https://www1.folha.uol.com.br/fsp/ombudsma/om1702200202.htm,1,[]
Folha de S. Paulo,Pensata,2002-06-13,Reprovando o provão,http://www1.folha.uol.com.br/folha/pensata/ult510u63.shtml,1,[]
Folha de S. Paulo,Opinião,2006-09-15,Bravata infeliz,https://www1.folha.uol.com.br/fsp/opiniao/fz1509200601.htm,1,[]
Folha de S. Paulo,BBC,2006-10-30,Sapo verde amazônico,https://www1.folha.uol.com.br/folha/bbc/ult272u58184.shtml,1,[]
Folha de S. Paulo,Brasil,2007-07-25,ESQUIZOFRENIA,https://www1.folha.uol.com.br/fsp/brasil/fc2507200717.htm,1,[]
Folha de S. Paulo,Mundo,2008-02-09,ESQUIZOFRENIA,https://www1.folha.uol.com.br/fsp/mundo/ft0209200804.htm,1,[]
Folha de S. Paulo,Viaja SP,2019-05-25,"Estados Unidos são o melhor país para viajar, segundo pesquisa Datafolha",https://www1.folha.uol.com.br/saopaulo/viaja-sp/melhores/2019/05/1987944-estados-unidos-sao-o-melhor-pais-para-viajar-segundo-pesquisa-datafolha.shtml?origin=folha,1,[]
Folha de S. Paulo,Colunas,2018-10-15,O queijo suíço,https://www1.folha.uol.com.br/colunas/marcus-melo/2018/10/o-queijo-suico.shtml,1,[]
Folha de S. Paulo,Mundo,2018-06-18,"Separação de famílias fere valores americanos, diz ex-assessor de Trump",https://www1.folha.uol.com.br/mundo/2018/06/separacao-de-familias-fere-valores-americanos-diz-ex-assessor-de-trump.shtml,1,[]
Folha de S. Paulo,Painel do leitor,2016-04-13,"Foi sem querer querendo', diz leitor sobre vazamento de áudio de Temer",https://www1.folha.uol.com.br/paineldoleitor/2016/04/1760326-foi-sem-querer-querendo-diz-leitor-sobre-vazamento-de-audio-de-temer.shtml,1,[]
Folha de S. Paulo,Ilustríssima,2018-09-12,Peça sobre Nico conta histórias da musa de Andy Warhol que virou cantora,https://www1.folha.uol.com.br/ilustrissima/2018/12/peca-sobre-nico-conta-historias-da-musa-de-andy-warhol-que-virou-cantora.shtml,1,[]
Folha de S. Paulo,Blogs e Colunas,2016-01-15,O homem que caiu em Berlim,https://120bpm.blogfolha.uol.com.br/2016/01/15/o-homem-que-caiu-em-berlim/,1,[]
Folha de S. Paulo,Painel do leitor,2013-10-14,Leitor elogia artigo sobre a democracia brasileira,https://www1.folha.uol.com.br/paineldoleitor/2013/10/1356144-leitor-elogia-artigo-sobre-a-democracia-brasileira.shtml,1,[]
